name,state,lat,lon,population
Cedar Rapids,IA,42.00833,-91.64407,130405
Davenport,IA,41.52364,-90.57764,102582
Des Moines,IA,41.60054,-93.60911,214133
Aurora,IL,41.76058,-88.32007,200661
Chicago,IL,41.85003,-87.65005,2664452
Elgin,IL,42.03725,-88.28119,112111
Joliet,IL,41.52519,-88.0834,147861
Naperville,IL,41.78586,-88.14729,147100
North Peoria,IL,40.71754,-89.58426,113004
Peoria,IL,40.69365,-89.58899,115070
Rockford,IL,42.27113,-89.094,148278
Fort Wayne,IN,41.1306,-85.12886,260326
South Bend,IN,41.68338,-86.25001,101516
Boston,MA,42.35843,-71.05977,653833
Cambridge,MA,42.3751,-71.10561,110402
Lowell,MA,42.63342,-71.31617,110699
New Bedford,MA,41.63526,-70.92701,101079
South Boston,MA,42.33343,-71.04949,571281
Springfield,MA,42.10148,-72.58981,154341
Worcester,MA,42.26259,-71.80229,206518
Ann Arbor,MI,42.27756,-83.74088,117070
Detroit,MI,42.33143,-83.04575,645705
Grand Rapids,MI,42.96336,-85.66809,195097
Lansing,MI,42.73253,-84.55553,112644
Sterling Heights,MI,42.58031,-83.0302,132052
Warren,MI,42.49044,-83.01304,134056
Minneapolis,MN,44.97997,-93.26384,410939
Rochester,MN,44.02163,-92.4699,112225
Saint Paul,MN,44.94441,-93.09327,303176
Fargo,ND,46.87719,-96.7898,118523
Lincoln,NE,40.8,-96.66696,294757
Omaha,NE,41.25626,-95.94043,486051
Manchester,NH,42.99564,-71.45479,110229
Edison,NJ,40.51872,-74.4121,102548
Elizabeth,NJ,40.66399,-74.2107,129007
Jersey City,NJ,40.72816,-74.07764,264290
Newark,NJ,40.73566,-74.17237,281944
Paterson,NJ,40.91677,-74.17181,147754
Albany,NY,42.65258,-73.75623,101228
Amherst,NY,42.97839,-78.79976,122366
Astoria,NY,40.77205,-73.93014,150165
Borough Park,NY,40.63399,-73.99681,149248
The Bronx,NY,40.84985,-73.86641,1385108
Brooklyn,NY,40.6501,-73.94958,2736074
Buffalo,NY,42.88645,-78.87837,258071
Bushwick,NY,40.69427,-73.91875,112620
Corona,NY,40.74705,-73.86014,109698
East Flatbush,NY,40.65371,-73.93042,178464
East New York,NY,40.66677,-73.88236,173198
Elmhurst,NY,40.73649,-73.87791,113364
Gravesend,NY,40.5976,-73.96514,112229
Harlem,NY,40.80788,-73.94542,116345
Jamaica,NY,40.69149,-73.80569,216866
Manhattan,NY,40.78343,-73.96625,1487536
New York City,NY,40.71427,-74.00597,8804190
Queens,NY,40.68149,-73.83652,2316841
Rochester,NY,43.15478,-77.61556,209802
Sheepshead Bay,NY,40.59122,-73.94458,122534
Staten Island,NY,40.56233,-74.13986,468730
Syracuse,NY,43.04812,-76.14742,144142
Upper West Side,NY,40.78705,-73.97542,226989
Washington Heights,NY,40.8501,-73.93541,152613
Yonkers,NY,40.9304,-73.89789,201116
Akron,OH,41.08144,-81.51901,197542
Cleveland,OH,41.4995,-81.69541,365379
Toledo,OH,41.66394,-83.55521,265638
Allentown,PA,40.60843,-75.49018,120207
Pittsburgh,PA,40.44062,-79.99589,304391
Providence,RI,41.82399,-71.41283,190934
Sioux Falls,SD,43.54369,-96.72796,171544
Green Bay,WI,44.51916,-88.01983,105207
Madison,WI,43.07305,-89.40123,280305
Milwaukee,WI,43.0389,-87.90647,563531
Bridgeport,CT,41.17923,-73.18945,147629
Chandler,AZ,33.30616,-111.84125,260828
Deer Valley,AZ,33.68393,-112.13488,165656
Gilbert,AZ,33.35283,-111.78903,247542
Glendale,AZ,33.53865,-112.18599,240126
Maryvale,AZ,33.50199,-112.17765,208189
Mesa,AZ,33.42227,-111.82264,471825
Peoria,AZ,33.5806,-112.23738,190985
Phoenix,AZ,33.44838,-112.07404,1650070
Scottsdale,AZ,33.50921,-111.89903,236839
Surprise,AZ,33.63059,-112.33322,143148
Tempe,AZ,33.41477,-111.90931,175826
